Event,Particle,Px,Py,Pz,Energy
0,Higgs,0.0,0.0,9.9999998245167e-15,125.0
0,Z Boson,-18.290857315063477,-17.235517501831055,-11.175651550292969,97.49520874023438
0,Electron+,3.8164427280426025,-44.532108306884766,-33.51677703857422,55.86634063720703
0,Electron-,-22.1072998046875,27.29659080505371,22.341123580932617,41.62886428833008
0,Photon,18.290857315063477,17.235517501831055,11.175651550292969,27.50479507446289
1,Higgs,0.0,0.0,9.9999998245167e-15,125.0
1,Z Boson,-16.927574157714844,9.896357536315918,-19.76921272277832,97.15574645996094
1,Electron+,-16.660125732421875,43.47461700439453,-36.948272705078125,59.43716812133789
1,Electron-,-0.2674480974674225,-33.57826232910156,17.179058074951172,37.71857833862305
1,Photon,16.927574157714844,-9.896357536315918,19.76921272277832,27.844253540039062
2,Higgs,0.0,0.0,9.9999998245167e-15,125.0
2,Z Boson,-6.212707996368408,13.784579277038574,25.85222816467285,95.05087280273438
2,Electron+,26.475704193115234,16.713577270507812,46.6599235534668,56.19123840332031
2,Electron-,-32.688411712646484,-2.9289987087249756,-20.807695388793945,38.85963821411133
2,Photon,6.212707996368408,-13.784579277038574,-25.85222816467285,29.949125289916992
3,Higgs,0.0,0.0,9.9999998245167e-15,125.0
3,Z Boson,0.5459213256835938,-25.375133514404297,-19.32639503479004,93.0985107421875
3,Muon+,1.956162929534912,31.598506927490234,3.1923668384552,31.819721221923828
3,Muon-,-1.4102416038513184,-56.97364044189453,-22.518760681152344,61.27879333496094
3,Photon,-0.5459213256835938,25.375133514404297,19.32639503479004,31.901487350463867
4,Higgs,0.0,0.0,9.9999998245167e-15,125.0
4,Z Boson,-23.59668731689453,-22.229040145874023,15.945297241210938,88.87263488769531
4,Muon+,5.379344463348389,-39.574222564697266,32.28589630126953,51.3560791015625
4,Muon-,-28.976032257080078,17.345182418823242,-16.340599060058594,37.51655578613281
4,Photon,23.59668731689453,22.229040145874023,-15.945297241210938,36.12736511230469
5,Higgs,0.0,0.0,9.9999998245167e-15,125.0
5,Z Boson,9.696534156799316,-24.254512786865234,-14.736810684204102,95.00870513916016
5,Muon+,3.338320016860962,32.38533401489258,-19.27086639404297,37.832942962646484
5,Muon-,6.358213901519775,-56.63984680175781,4.534055233001709,57.17576217651367
5,Photon,-9.696534156799316,24.254512786865234,14.736810684204102,29.991294860839844
6,Higgs,0.0,0.0,9.9999998245167e-15,125.0
6,Z Boson,-23.993831634521484,-9.191251754760742,16.635356903076172,94.39088439941406
6,Muon+,12.886382102966309,0.8347850441932678,44.987205505371094,46.804012298583984
6,Muon-,-36.88021469116211,-10.026037216186523,-28.351848602294922,47.58686828613281
6,Photon,23.993831634521484,9.191251754760742,-16.635356903076172,30.609119415283203
7,Higgs,0.0,0.0,9.9999998245167e-15,125.0
7,Z Boson,6.000424861907959,-17.58546257019043,-30.58326530456543,89.21466827392578
7,Muon+,-24.59321403503418,21.92409896850586,-5.863211154937744,33.46461868286133
7,Muon-,30.593639373779297,-39.509559631347656,-24.720054626464844,55.75005340576172
7,Photon,-6.000424861907959,17.58546257019043,30.58326530456543,35.78532791137695
8,Higgs,0.0,0.0,9.9999998245167e-15,125.0
8,Z Boson,19.544811248779297,26.691082000732422,-10.666960716247559,90.2408676147461
8,Electron+,-0.6911951899528503,54.8470458984375,-4.638643741607666,55.04718780517578
8,Electron-,20.236005783081055,-28.155963897705078,-6.028316974639893,35.19367599487305
8,Photon,-19.544811248779297,-26.691082000732422,10.666960716247559,34.75913619995117
9,Higgs,0.0,0.0,9.9999998245167e-15,125.0
9,Z Boson,-14.042618751525879,16.959794998168945,21.091461181640625,94.50935363769531
9,Muon+,35.44525146484375,20.387744903564453,18.37229347229004,44.82831954956055
9,Muon-,-49.48786926269531,-3.4279515743255615,2.7191691398620605,49.681034088134766
9,Photon,14.042618751525879,-16.959794998168945,-21.091461181640625,30.490646362304688
10,Higgs,0.0,0.0,9.9999998245167e-15,125.0
10,Z Boson,22.9808349609375,-9.792207717895508,18.866043090820312,93.69610595703125
10,Muon+,-16.655214309692383,-16.271991729736328,-25.038970947265625,34.19261932373047
10,Muon-,39.63604736328125,6.479783058166504,43.90501403808594,59.50349044799805
10,Photon,-22.9808349609375,9.792207717895508,-18.866043090820312,31.303892135620117
11,Higgs,0.0,0.0,9.9999998245167e-15,125.0
11,Z Boson,-4.712339401245117,-27.159622192382812,-15.94195556640625,93.15667724609375
11,Electron+,27.034147262573242,15.680316925048828,-23.769365310668945,39.264488220214844
11,Electron-,-31.74648666381836,-42.83993911743164,7.827408790588379,53.892189025878906
11,Photon,4.712339401245117,27.159622192382812,15.94195556640625,31.843320846557617
12,Higgs,0.0,0.0,9.9999998245167e-15,125.0
12,Z Boson,3.5128977298736572,-26.61728858947754,8.417638778686523,96.86324310302734
12,Electron+,-36.44729995727539,-11.564291000366211,-22.296035766601562,44.26343536376953
12,Electron-,39.96019744873047,-15.052997589111328,30.713674545288086,52.59980773925781
12,Photon,-3.5128977298736572,26.61728858947754,-8.417638778686523,28.13675880432129
13,Higgs,0.0,0.0,9.9999998245167e-15,125.0
13,Z Boson,-19.35898208618164,11.648046493530273,-17.086532592773438,96.67339324951172
13,Electron+,-7.388406276702881,13.26308536529541,-54.908843994140625,56.9691047668457
13,Electron-,-11.970576286315918,-1.6150386333465576,37.82231140136719,39.70428466796875
13,Photon,19.35898208618164,-11.648046493530273,17.086532592773438,28.326608657836914
14,Higgs,0.0,0.0,9.9999998245167e-15,125.0
14,Z Boson,13.517474174499512,-21.266910552978516,-15.50047779083252,95.4150619506836
14,Muon+,-34.2136116027832,11.661408424377441,-6.742736339569092,36.7700309753418
14,Muon-,47.731082916259766,-32.92831802368164,-8.757741928100586,58.6450309753418
14,Photon,-13.517474174499512,21.266910552978516,15.50047779083252,29.584936141967773
15,Higgs,0.0,0.0,9.9999998245167e-15,125.0
15,Z Boson,-11.305938720703125,-24.83543586730957,-10.506973266601562,95.75927734375
15,Muon+,25.668336868286133,-23.324880599975586,26.329608917236328,43.54507064819336
15,Muon-,-36.97427749633789,-1.5105555057525635,-36.83658218383789,52.214210510253906
15,Photon,11.305938720703125,24.83543586730957,10.506973266601562,29.240718841552734
16,Higgs,0.0,0.0,9.9999998245167e-15,125.0
16,Z Boson,8.278644561767578,-21.725696563720703,17.801591873168945,95.71794891357422
16,Muon+,-34.9300651550293,13.238269805908203,14.388947486877441,40.03016662597656
16,Muon-,43.208709716796875,-34.963966369628906,3.412644624710083,55.687782287597656
16,Photon,-8.278644561767578,21.725696563720703,-17.801591873168945,29.28205108642578
17,Higgs,0.0,0.0,9.9999998245167e-15,125.0
17,Z Boson,-21.69853973388672,18.375368118286133,4.360945701599121,96.23372650146484
17,Muon+,34.888648986816406,12.348930358886719,11.792781829833984,38.84320831298828
17,Muon-,-56.587188720703125,6.026439189910889,-7.431836128234863,57.3905143737793
17,Photon,21.69853973388672,-18.375368118286133,-4.360945701599121,28.76627540588379
18,Higgs,0.0,0.0,9.9999998245167e-15,125.0
18,Z Boson,-8.134654998779297,11.225341796875,26.155466079711914,95.39781188964844
18,Electron+,-4.372199058532715,9.07529067993164,-33.80855941772461,35.277408599853516
18,Electron-,-3.762455701828003,2.1500508785247803,59.96402359008789,60.12040328979492
18,Photon,8.134654998779297,-11.225341796875,-26.155466079711914,29.602184295654297
19,Higgs,0.0,0.0,9.9999998245167e-15,125.0
19,Z Boson,8.947260856628418,-13.631227493286133,22.730356216430664,97.02620697021484
19,Electron+,36.527809143066406,18.885343551635742,-11.105087280273438,42.59413146972656
19,Electron-,-27.580547332763672,-32.516571044921875,33.835445404052734,54.43207931518555
19,Photon,-8.947260856628418,13.631227493286133,-22.730356216430664,27.973791122436523
20,Higgs,0.0,0.0,9.9999998245167e-15,125.0
20,Z Boson,-24.588550567626953,-14.338702201843262,6.025543689727783,95.90528869628906
20,Muon+,-17.27206039428711,30.41401481628418,28.664108276367188,45.221439361572266
20,Muon-,-7.316490650177002,-44.752716064453125,-22.63856315612793,50.68384552001953
20,Photon,24.588550567626953,14.338702201843262,-6.025543689727783,29.09471321105957
21,Higgs,0.0,0.0,9.9999998245167e-15,125.0
21,Z Boson,7.063333511352539,-18.423254013061523,-20.091249465942383,96.84036254882812
21,Muon+,-31.81439208984375,-17.353429794311523,19.65877342224121,41.228336334228516
21,Muon-,38.877723693847656,-1.0698240995407104,-39.750022888183594,55.61202621459961
21,Photon,-7.063333511352539,18.423254013061523,20.091249465942383,28.159639358520508
22,Higgs,0.0,0.0,9.9999998245167e-15,125.0
22,Z Boson,-31.954011917114258,1.9078805446624756,0.525536835193634,92.98477172851562
22,Muon+,-52.655052185058594,27.193408966064453,-6.313961505889893,59.597930908203125
22,Muon-,20.701040267944336,-25.2855281829834,6.839498043060303,33.386837005615234
22,Photon,31.954011917114258,-1.9078805446624756,-0.525536835193634,32.01523208618164
23,Higgs,0.0,0.0,9.9999998245167e-15,125.0
23,Z Boson,0.47007569670677185,26.557703018188477,10.93031120300293,96.27711486816406
23,Electron+,-25.067628860473633,50.62346649169922,20.18308448791504,59.98731994628906
23,Electron-,25.537704467773438,-24.065765380859375,-9.25277328491211,36.289794921875
23,Photon,-0.47007569670677185,-26.557703018188477,-10.93031120300293,28.72288703918457
24,Higgs,0.0,0.0,9.9999998245167e-15,125.0
24,Z Boson,25.892194747924805,-13.829182624816895,2.7698862552642822,95.51569366455078
24,Muon+,46.323768615722656,-38.04570388793945,-11.039285659790039,60.95280075073242
24,Muon-,-20.43157196044922,24.216522216796875,13.809171676635742,34.56289291381836
24,Photon,-25.892194747924805,13.829182624816895,-2.7698862552642822,29.48430633544922
25,Higgs,0.0,0.0,9.9999998245167e-15,125.0
25,Z Boson,26.318714141845703,10.184404373168945,4.781741142272949,96.37725067138672
25,Electron+,-33.486473083496094,-0.6211600303649902,-7.627403259277344,34.34977722167969
25,Electron-,59.8051872253418,10.805563926696777,12.409144401550293,62.02747344970703
25,Photon,-26.318714141845703,-10.184404373168945,-4.781741142272949,28.62274932861328
26,Higgs,0.0,0.0,9.9999998245167e-15,125.0
26,Z Boson,-6.678214073181152,28.580833435058594,-0.02339239977300167,95.64930725097656
26,Muon+,27.790891647338867,-20.247346878051758,-8.13135814666748,35.332969665527344
