Event,Particle,Px,Py,Pz,Energy,Mass,PID
0,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
0,Electron+,-6.690178871154785,9.383338928222656,-0.08039428293704987,11.524409294128418,0.0005109999910928309,-11
0,Electron-,-29.460905075073242,41.59872817993164,-0.33810243010520935,50.975616455078125,0.0005109999910928309,11
0,Photon,36.151084899902344,-50.9820671081543,0.4184967279434204,62.499977111816406,0.0,22
1,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
1,Electron+,-1.5405529737472534,-1.5958781242370605,2.774207592010498,3.5519514083862305,0.0005109999910928309,-11
1,Electron-,-15.511474609375,-25.716218948364258,50.7588996887207,58.977928161621094,0.0005109999910928309,11
1,Photon,17.05202865600586,27.312097549438477,-53.53310775756836,62.470123291015625,0.0,22
2,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
2,Muon+,-40.8093376159668,-28.31134796142578,7.749009132385254,50.269203186035156,0.10565999895334244,-13
2,Muon-,-8.854543685913086,-7.4830851554870605,-6.929275989532471,13.506500244140625,0.10565999895334244,13
2,Photon,49.663883209228516,35.79443359375,-0.8197335600852966,61.22429656982422,0.0,22
3,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
3,Electron+,-2.2659857273101807,-27.59665298461914,-41.431461334228516,49.83247756958008,0.0005109999910928309,-11
3,Electron-,2.221446990966797,-14.71293830871582,-1.4212727546691895,14.947421073913574,0.0005109999910928309,11
3,Photon,0.04453878104686737,42.309593200683594,42.85273361206055,60.22010040283203,0.0,22
4,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4,Muon+,4.0135884284973145,0.6411025524139404,-3.306180000305176,5.240409851074219,0.10565999895334244,-13
4,Muon-,43.12606430053711,9.323238372802734,-36.499168395996094,57.262386322021484,0.10565999895334244,13
4,Photon,-47.139652252197266,-9.964340209960938,39.80534744262695,62.49720764160156,0.0,22
5,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
5,Muon+,0.39694997668266296,0.35333502292633057,-34.51375961303711,34.51801300048828,0.10565999895334244,-13
5,Muon-,-8.669600486755371,3.7309930324554443,-26.83331871032715,28.44504165649414,0.10565999895334244,13
5,Photon,8.272650718688965,-4.0843281745910645,61.34708023071289,62.03694534301758,0.0,22
6,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
6,Electron+,-8.588199615478516,24.760915756225586,-15.17969036102295,30.28668212890625,0.0005109999910928309,-11
